Date,NPS
4/1/2016,51.8
4/2/2016,51.8
4/3/2016,51.8
4/4/2016,51.8
4/5/2016,51.8
4/6/2016,51.8
4/7/2016,51.8
4/8/2016,51.8
4/9/2016,51.8
4/10/2016,51.8
4/11/2016,51.8
4/12/2016,51.8
4/13/2016,51.8
4/14/2016,51.8
4/15/2016,51.8
4/16/2016,51.8
4/17/2016,51.8
4/18/2016,51.8
4/19/2016,51.8
4/20/2016,51.8
4/21/2016,51.8
4/22/2016,51.8
4/23/2016,51.8
4/24/2016,51.8
4/25/2016,51.8
4/26/2016,51.8
4/27/2016,51.8
4/28/2016,51.8
4/29/2016,51.8
4/30/2016,51.8
5/1/2016,47.3
5/2/2016,47.3
5/3/2016,47.3
5/4/2016,47.3
5/5/2016,47.3
5/6/2016,47.3
5/7/2016,47.3
5/8/2016,47.3
5/9/2016,47.3
5/10/2016,47.3
5/11/2016,47.3
5/12/2016,47.3
5/13/2016,47.3
5/14/2016,47.3
5/15/2016,47.3
5/16/2016,47.3
5/17/2016,47.3
5/18/2016,47.3
5/19/2016,47.3
5/20/2016,47.3
5/21/2016,47.3
5/22/2016,47.3
5/23/2016,47.3
5/24/2016,47.3
5/25/2016,47.3
5/26/2016,47.3
5/27/2016,47.3
5/28/2016,47.3
5/29/2016,47.3
5/30/2016,47.3
5/31/2016,47.3
6/1/2016,50.5
6/2/2016,50.5
6/3/2016,50.5
6/4/2016,50.5
6/5/2016,50.5
6/6/2016,50.5
6/7/2016,50.5
6/8/2016,50.5
6/9/2016,50.5
6/10/2016,50.5
6/11/2016,50.5
6/12/2016,50.5
6/13/2016,50.5
6/14/2016,50.5
6/15/2016,50.5
6/16/2016,50.5
6/17/2016,50.5
6/18/2016,50.5
6/19/2016,50.5
6/20/2016,50.5
6/21/2016,50.5
6/22/2016,50.5
6/23/2016,50.5
6/24/2016,50.5
6/25/2016,50.5
6/26/2016,50.5
6/27/2016,50.5
6/28/2016,50.5
6/29/2016,50.5
6/30/2016,50.5
